datetime,fsym,price_usd,open,high,low,volumefrom,volumeto
2020-02-25 00:00:00+00:00,BTC,9628.11,9664.21,9681.65,9613.07,533.98,5151718.24
2020-02-25 01:00:00+00:00,BTC,9593.84,9628.11,9655.55,9588.11,641.71,6188239.14
2020-02-25 02:00:00+00:00,BTC,9620.39,9593.84,9632.36,9587.98,561.03,5402395.98
2020-02-25 03:00:00+00:00,BTC,9587.35,9620.39,9633.15,9583.71,504.8,4860331.45
2020-02-25 04:00:00+00:00,BTC,9582.46,9587.35,9614.05,9575.27,637.09,6110079.66
2020-02-25 05:00:00+00:00,BTC,9564.06,9582.46,9600.09,9549.11,811.38,7774902.03
2020-02-25 06:00:00+00:00,BTC,9557.16,9564.06,9588.38,9520.2,1315.72,12545192.7
2020-02-25 07:00:00+00:00,BTC,9531.9,9557.16,9558.57,9503.12,1152.73,10976593.39
2020-02-25 08:00:00+00:00,BTC,9571.85,9531.9,9596.65,9513.56,884.41,8463220.92
2020-02-25 09:00:00+00:00,BTC,9580.08,9571.85,9612.24,9570.91,472.75,4546321.3
2020-02-25 10:00:00+00:00,BTC,9573.54,9580.08,9595.56,9556.17,458.62,4401913.37
2020-02-25 11:00:00+00:00,BTC,9643.38,9573.54,9661.51,9514.83,1799.31,17255427.5
2020-02-25 12:00:00+00:00,BTC,9627.96,9643.38,9682.05,9616.58,1135.17,10957635.27
2020-02-25 13:00:00+00:00,BTC,9593.52,9627.96,9639.17,9569.87,753.65,7247399.75
2020-02-25 14:00:00+00:00,BTC,9415.92,9593.52,9593.52,9386.04,4652.65,43993936.51
2020-02-25 15:00:00+00:00,BTC,9401.08,9415.92,9447.13,9374.6,2300.66,21643787.63
2020-02-25 16:00:00+00:00,BTC,9324.83,9401.08,9462.42,9313.38,4739.87,44544587.67
2020-02-25 17:00:00+00:00,BTC,9352.91,9324.83,9383.67,9301.21,2072.14,19358848.88
2020-02-25 18:00:00+00:00,BTC,9390.89,9352.91,9405.51,9340.51,1052.14,9873905.92
2020-02-25 19:00:00+00:00,BTC,9365.43,9390.89,9391.36,9331.28,1479.33,13833551.93
2020-02-25 20:00:00+00:00,BTC,9334.74,9365.43,9385.7,9306.12,1590.6,14864298.2
2020-02-25 21:00:00+00:00,BTC,9393.96,9334.74,9415.7,9258.4,3409.58,31836836.9
2020-02-25 22:00:00+00:00,BTC,9390.14,9393.96,9428.14,9371.04,918.65,8647779.64
2020-02-25 23:00:00+00:00,BTC,9316.18,9390.14,9390.49,9309.35,949.8,8893920.76
2020-02-26 00:00:00+00:00,BTC,9317.15,9316.18,9379.07,9303.94,971.73,9082103.92
2020-02-26 01:00:00+00:00,BTC,9202.82,9317.15,9332.58,9201.61,3170.45,29281366.86
2020-02-26 02:00:00+00:00,BTC,9210.29,9202.82,9230.13,9118.31,5318.18,48728334.6
2020-02-26 03:00:00+00:00,BTC,9162.21,9210.29,9210.29,9128.16,1974.9,18096559.71
2020-02-26 04:00:00+00:00,BTC,9179.07,9162.21,9182.89,9121.67,1680.21,15375563.49
2020-02-26 05:00:00+00:00,BTC,9201.57,9179.07,9206.29,9144.21,800.08,7358237.5
2020-02-26 06:00:00+00:00,BTC,9222.56,9201.57,9224.93,9176.4,839.84,7748224.94
2020-02-26 07:00:00+00:00,BTC,9150.21,9222.56,9223.15,9140.53,940.41,8638312.76
2020-02-26 08:00:00+00:00,BTC,9195.31,9150.21,9221.49,9113.97,1981.91,18150673.14
2020-02-26 09:00:00+00:00,BTC,9131.46,9195.31,9203.82,9122.84,1184.84,10861287.73
2020-02-26 10:00:00+00:00,BTC,9181.62,9131.46,9194.2,9103.63,1673.47,15333571.46
2020-02-26 11:00:00+00:00,BTC,9157.81,9181.62,9183.52,9142.17,834.07,7651805.22
2020-02-26 12:00:00+00:00,BTC,9280.0,9157.81,9293.79,9053.23,5004.91,45963298.18
2020-02-26 13:00:00+00:00,BTC,9094.45,9280.0,9281.94,9057.15,2457.53,22511361.02
2020-02-26 14:00:00+00:00,BTC,9041.19,9094.45,9125.56,8987.14,5317.27,48048120.03
2020-02-26 15:00:00+00:00,BTC,9004.37,9041.19,9051.09,8987.94,2409.91,21734003.41
2020-02-26 16:00:00+00:00,BTC,8743.38,9004.37,9028.14,8652.97,12529.07,110150141.01
2020-02-26 17:00:00+00:00,BTC,8731.84,8743.38,8792.63,8664.38,4760.84,41518290.86
2020-02-26 18:00:00+00:00,BTC,8833.65,8731.84,8841.3,8729.82,3245.21,28486284.77
2020-02-26 19:00:00+00:00,BTC,8837.16,8833.65,8857.86,8785.77,2327.11,20542006.65
